variant	frame	commands	batch_size	write_calls	sync_calls	bytes	elapsed_ms	commands_per_s	syncs_per_command	checksum
per_command	set	2000	1	2000	2000	202000	8441.259	236.931	1.000000	11813381221579800270
batched	set	2000	1	2000	2000	202000	8532.808	234.389	1.000000	11813381221579800270
batched	set	2000	4	500	500	202000	2302.358	868.675	0.250000	11813381221579800270
batched	set	2000	16	125	125	202000	587.382	3404.937	0.062500	11813381221579800270
batched	set	2000	64	32	32	202000	157.571	12692.701	0.016000	11813381221579800270
batched	set	2000	256	8	8	202000	41.526	48162.694	0.004000	11813381221579800270
