variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	checksum
seg	1000000	64	65536	snapshot	1	0.208	208500.000	0.000000	0.000000	32
seg	1000000	64	65536	iter_snapshot	1000000	11.763	11.763	0.000000	0.000000	127494816
seg	1000000	64	65536	get_live	300000	77.068	256.894	0.000000	0.000000	38224399
seg	1000000	64	65536	replace_live	10000	10.276	1027.633	0.000000	0.000000	10000
seg	1000000	64	65536	mutate_live	10000	6.340	634.050	0.000000	0.000000	10000
seg	1000000	64	65536	replace_held_snapshot	10000	14.484	1448.358	2.162964	0.000000	10000
seg	1000000	64	65536	mutate_held_snapshot	10000	17.042	1704.217	2.162964	0.607239	10000
