variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
im	100000	64	1024	snapshot	1	0.000	208.000	0.000000	0.000000	68288	112	24
im	100000	64	1024	iter_snapshot	100000	13.116	131.160	0.000000	0.000000	68400	112	12750672
im	100000	64	1024	get_live	200000	29.405	147.023	0.000000	0.000000	68496	64	25473272
im	100000	64	1024	replace_live	10000	14.977	1497.658	0.000000	0.000000	129984	432	10000
im	100000	64	1024	mutate_live	10000	1.960	195.954	0.000000	0.000000	190544	0	10000
im	100000	64	1024	incr_live	10000	2.230	222.975	0.000000	0.000000	251344	0	5853332807599718092
im	100000	64	1024	replace_held_snapshot	10000	8.349	834.900	0.533066	0.000000	328464	16240	10000
im	100000	64	1024	mutate_held_snapshot	10000	11.511	1151.054	0.533112	0.582092	405824	16384	10000
im	100000	64	1024	incr_held_snapshot	10000	8.994	899.392	0.530762	0.582092	483024	16240	5853332807599718092
