variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
deep	100000	64	1024	snapshot	1	9.775	9774958.000	1.525879	6.103516	35584	14240	48
deep	100000	64	1024	iter_snapshot	100000	0.500	4.995	0.000000	0.000000	42320	64	12747088
deep	100000	64	1024	get_live	200000	16.847	84.237	0.000000	0.000000	42384	0	25501560
deep	100000	64	1024	replace_live	10000	9.519	951.925	0.000000	0.000000	50096	128	10000
deep	100000	64	1024	mutate_live	10000	1.121	112.075	0.000000	0.000000	64288	96	10000
deep	100000	64	1024	incr_live	10000	1.147	114.683	0.000000	0.000000	78416	0	4697570005460379596
deep	100000	64	1024	replace_held_snapshot	10000	8.720	872.042	0.000000	0.000000	106656	0	10000
deep	100000	64	1024	mutate_held_snapshot	10000	1.103	110.275	0.000000	0.000000	134864	0	10000
deep	100000	64	1024	incr_held_snapshot	10000	1.149	114.912	0.000000	0.000000	163136	0	4697570005460379596
