variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	entry_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
seg_deep_hash	4096	65536	512	snapshot	1	0.007	6708.000	0.000000	0.000000	0.000000	265024	96	40
seg_deep_hash	4096	65536	512	iter_snapshot	4096	0.682	166.453	0.000000	0.000000	0.000000	265136	96	268957696
seg_deep_hash	4096	65536	512	get_live	20000	1.882	94.119	0.000000	0.000000	0.000000	265136	0	1313250773
seg_deep_hash	4096	65536	512	replace_live	1000	6.028	6028.167	0.000000	0.000000	0.000000	585248	57312	1000
seg_deep_hash	4096	65536	512	mutate_live	1000	0.264	263.583	0.000000	0.000000	0.000000	847920	0	1000
seg_deep_hash	4096	65536	512	incr_live	1000	0.231	231.250	0.000000	0.000000	0.000000	1110656	16	7095862837614223308
seg_deep_hash	4096	65536	512	replace_held_snapshot	1000	23.098	23097.833	0.062439	0.000000	255.750000	1635760	262416	1000
seg_deep_hash	4096	65536	512	mutate_held_snapshot	1000	28.853	28852.750	0.062439	0.000000	255.750000	2103440	205008	1000
seg_deep_hash	4096	65536	512	incr_held_snapshot	1000	35.438	35437.833	0.062439	0.000000	255.750000	2628768	262352	7095862837614223308
seg_entry_hash	4096	65536	512	snapshot	1	0.002	1750.000	0.000000	0.000000	0.000000	696304	0	40
seg_entry_hash	4096	65536	512	iter_snapshot	4096	0.131	31.982	0.000000	0.000000	0.000000	696304	0	18446744073432633344
seg_entry_hash	4096	65536	512	get_live	20000	1.142	57.121	0.000000	0.000000	0.000000	696304	0	18446744072356894770
seg_entry_hash	4096	65536	512	metadata_live	1000	0.062	62.416	0.000000	0.000000	0.000000	704592	0	1000
seg_entry_hash	4096	65536	512	replace_live	1000	1.743	1742.709	0.000000	0.000000	0.000000	967056	64	1000
seg_entry_hash	4096	65536	512	mutate_live	1000	0.268	268.291	0.000000	0.000000	0.000000	1229584	0	1000
seg_entry_hash	4096	65536	512	incr_live	1000	0.180	180.292	0.000000	0.000000	0.000000	1361440	0	1960554999647887500
seg_entry_hash	4096	65536	512	metadata_held_snapshot	1000	0.156	155.959	0.062439	0.093658	0.000000	1624448	320	1000
seg_entry_hash	4096	65536	512	replace_held_snapshot	1000	4.303	4303.000	0.062439	0.093658	0.000000	1934560	57648	1000
seg_entry_hash	4096	65536	512	mutate_held_snapshot	1000	4.997	4996.875	0.062439	0.093658	55.937500	2255168	57728	1000
seg_entry_hash	4096	65536	512	incr_held_snapshot	1000	4.907	4906.959	0.062439	0.093658	55.937500	2575712	57664	1960554999647887500
