variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	checksum
deep	100000	64	1024	snapshot	1	8.563	8562541.000	1.525879	6.103516	48
deep	100000	64	1024	iter_snapshot	100000	0.293	2.931	0.000000	0.000000	12747088
deep	100000	64	1024	get_live	200000	15.896	79.481	0.000000	0.000000	25501560
deep	100000	64	1024	replace_live	10000	2.706	270.646	0.000000	0.000000	10000
deep	100000	64	1024	mutate_live	10000	0.899	89.925	0.000000	0.000000	10000
deep	100000	64	1024	replace_held_snapshot	10000	2.217	221.742	0.000000	0.000000	10000
deep	100000	64	1024	mutate_held_snapshot	10000	1.826	182.608	0.000000	0.000000	10000
arc	100000	64	1024	snapshot	1	3.302	3301917.000	1.525879	0.000000	48
arc	100000	64	1024	iter_snapshot	100000	0.742	7.420	0.000000	0.000000	12749520
arc	100000	64	1024	get_live	200000	31.347	156.735	0.000000	0.000000	25522040
arc	100000	64	1024	replace_live	10000	14.100	1410.004	0.000000	0.000000	10000
arc	100000	64	1024	mutate_live	10000	1.485	148.537	0.000000	0.000000	10000
arc	100000	64	1024	replace_held_snapshot	10000	1.499	149.908	0.000000	0.000000	10000
arc	100000	64	1024	mutate_held_snapshot	10000	2.689	268.942	0.000000	0.582092	10000
seg	100000	64	1024	snapshot	1	0.003	3000.000	0.000000	0.000000	32
seg	100000	64	1024	iter_snapshot	100000	0.460	4.598	0.000000	0.000000	12750032
seg	100000	64	1024	get_live	200000	21.305	106.526	0.000000	0.000000	25499000
seg	100000	64	1024	replace_live	10000	6.629	662.913	0.000000	0.000000	10000
seg	100000	64	1024	mutate_live	10000	1.294	129.379	0.000000	0.000000	10000
seg	100000	64	1024	replace_held_snapshot	10000	4.901	490.121	1.525879	0.000000	10000
seg	100000	64	1024	mutate_held_snapshot	10000	5.596	559.583	1.525879	0.582092	10000
im	100000	64	1024	snapshot	1	0.000	42.000	0.000000	0.000000	24
im	100000	64	1024	iter_snapshot	100000	13.827	138.271	0.000000	0.000000	12750672
im	100000	64	1024	get_live	200000	39.955	199.774	0.000000	0.000000	25473272
im	100000	64	1024	replace_live	10000	4.692	469.192	0.000000	0.000000	10000
im	100000	64	1024	mutate_live	10000	2.403	240.275	0.000000	0.000000	10000
im	100000	64	1024	replace_held_snapshot	10000	8.571	857.067	0.530060	0.000000	10000
im	100000	64	1024	mutate_held_snapshot	10000	11.365	1136.521	0.534576	0.582092	10000
