variant	keys	value_bytes	segments	phase	ops	elapsed_ms	ns_per_op	key_clone_mb	payload_clone_mb	rss_kb	rss_delta_kb	checksum
seg_hash	100000	64	1024	snapshot	1	0.019	18875.000	0.000000	0.000000	26224	112	40
seg_hash	100000	64	1024	iter_snapshot	100000	1.885	18.855	0.000000	0.000000	26240	0	12750032
seg_hash	100000	64	1024	get_live	200000	28.043	140.214	0.000000	0.000000	26240	0	25499000
seg_hash	100000	64	1024	replace_live	10000	12.299	1229.908	0.000000	0.000000	45680	560	10000
seg_hash	100000	64	1024	mutate_live	10000	1.815	181.508	0.000000	0.000000	63648	0	10000
seg_hash	100000	64	1024	incr_live	10000	2.633	263.254	0.000000	0.000000	81968	0	5277990220101649612
seg_hash	100000	64	1024	replace_held_snapshot	10000	4.354	435.433	1.525879	0.000000	108208	7472	10000
seg_hash	100000	64	1024	mutate_held_snapshot	10000	5.287	528.708	1.525879	0.582092	133888	7536	10000
seg_hash	100000	64	1024	incr_held_snapshot	10000	4.992	499.167	1.525879	0.582092	159984	7360	5277990220101649612
