mode=build | 10 commit(s) | workers=1 | sandbox=convsafe port=31000 | free 76.3 GB | config c77842583f5b
mounted /Volumes/convsafe (image free 8.3 GB)

[1/10] 2026-05-26 04e63ab53 building...
    Hashes           unit/type/hash                  83/83  | sys free 74.9 GB
    Incr             unit/type/incr                  31/31  | sys free 74.9 GB
    Lists (large)    unit/type/list-2                  2/2  | sys free 74.9 GB
    Lists (edge)     unit/type/list-3                11/11  | sys free 74.9 GB
    Lists            unit/type/list                254/254  | sys free 74.9 GB
    Sets             unit/type/set                 114/114  | sys free 74.9 GB
    Stream groups    unit/type/stream-cgroups   no-summary  | sys free 74.9 GB
    Streams          unit/type/stream              timeout  | sys free 74.8 GB
    Strings          unit/type/string              104/104  | sys free 74.8 GB
    Sorted sets      unit/type/zset                318/318  | sys free 74.8 GB
    -> 2381 passing | sys free 74.8 GB
[3/10] 2026-05-24 32667a1b6 building...
    ACL v2           unit/acl-v2                no-summary  | sys free 74.8 GB
    ACL              unit/acl                      112/112  | sys free 74.8 GB
    AOF rewrite      unit/aofrw                 no-summary  | sys free 74.8 GB
    Auth             unit/auth                     timeout  | sys free 74.8 GB
    Bitfield         unit/bitfield                   18/18  | sys free 74.8 GB
    Bitops           unit/bitops                     50/50  | sys free 74.8 GB
    Client eviction  unit/client-eviction          timeout  | sys free 74.8 GB
    Command log      unit/commandlog                 14/14  | sys free 74.8 GB
    Dump/Restore     unit/dump                       26/27  | sys free 74.8 GB
    Expire           unit/expire                     65/65  | sys free 74.7 GB
